purchase_date,draw_no,line_no,price,number1,number2,number3,number4,number5,number6
2026/03/03,115000032,1,50,01,12,19,26,47,48
2026/03/03,115000032,2,50,04,06,09,14,18,34
2026/03/03,115000032,3,50,04,14,17,24,25,34
2026/06/19,115000063,1,50,03,12,26,33,39,46
2026/06/19,115000063,2,50,01,04,07,19,23,41
2026/06/23,115000064,1,50,03,12,19,23,26,39
2026/06/23,115000064,2,50,07,14,21,27,32,46
2026/06/23,115000064,3,50,06,11,18,24,31,48
2026/06/23,115000064,4,50,05,16,28,33,41,49
2026/06/30,115000066,1,50,03,12,20,26,36,46
2026/06/30,115000066,2,50,04,17,19,30,34,38
2026/06/30,115000066,3,50,07,12,23,26,30,44
2026/06/30,115000066,4,50,01,09,19,24,36,49
2026/07/07,115000068,1,50,03,07,18,26,34,42
2026/07/07,115000068,2,50,09,12,21,28,37,46
2026/07/07,115000068,3,50,01,07,19,27,35,43
2026/07/07,115000068,4,50,06,14,22,31,38,49
2026/07/10,115000069,1,50,05,12,21,26,34,43
2026/07/10,115000069,2,50,03,19,24,32,38,46
2026/07/10,115000069,3,50,01,14,19,27,36,44
2026/07/10,115000069,4,50,07,10,23,29,41,42
