gap,observations,hits,empirical_hazard,smoothed_hazard,delta_vs_base
0,11382,1772,0.155684,0.155689,-0.00221
1,9638,1530,0.158747,0.158744,0.000852
2,8104,1325,0.1635,0.163482,0.005605
3,6778,1133,0.167158,0.167124,0.009264
4,5643,848,0.150275,0.150308,-0.00762
5,4791,730,0.152369,0.152398,-0.005526
6,4059,644,0.15866,0.158655,0.000765
7,3413,493,0.144448,0.144545,-0.013447
8,2919,435,0.149024,0.149099,-0.008871
9,2480,408,0.164516,0.16445,0.006621
10,2070,317,0.15314,0.153197,-0.004755
11,1751,261,0.149058,0.149182,-0.008837
12,1490,255,0.171141,0.170922,0.013246
13,1235,201,0.162753,0.162657,0.004858
14,1033,169,0.163601,0.163466,0.005706
15,864,148,0.171296,0.170919,0.013402
16,716,116,0.162011,0.161872,0.004116
17,599,93,0.155259,0.155364,-0.002636
18,505,80,0.158416,0.158391,0.000521
19,425,61,0.143529,0.144327,-0.014365
20,363,65,0.179063,0.177699,0.021169
21,298,50,0.167785,0.16702,0.00989
22,248,43,0.173387,0.171968,0.015492
23,205,31,0.15122,0.151945,-0.006675
24,174,28,0.16092,0.16054,0.003025
25,146,19,0.130137,0.134195,-0.027758
26,127,27,0.212598,0.203601,0.054704
27,100,11,0.11,0.119579,-0.047895
28,89,13,0.146067,0.148661,-0.011827
29,76,8,0.105263,0.118291,-0.052632
30,68,13,0.191176,0.18223,0.033282
31,55,6,0.109091,0.124342,-0.048804
32,49,11,0.22449,0.201991,0.066595
33,38,10,0.263158,0.221387,0.105263
34,28,3,0.107143,0.131082,-0.050752
35,25,4,0.16,0.158947,0.002105
36,21,4,0.190476,0.172769,0.032581
37,17,3,0.176471,0.165414,0.018576
38,14,3,0.214286,0.178138,0.056391
39,11,2,0.181818,0.165205,0.023923
40,9,1,0.111111,0.145511,-0.046784
41,8,1,0.125,0.14992,-0.032895
42,7,2,0.285714,0.185855,0.12782
43,5,2,0.4,0.198246,0.242105
44,3,0,0.0,0.140977,-0.157895
45,3,1,0.333333,0.176692,0.175439
46,2,0,0.0,0.146199,-0.157895
47,2,2,1.0,0.220273,0.842105
