target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000040,2025/05/19,10 15 22 27 29 37,03,03 04 10 15 20 24,02,10 15,2,0,3,0,3,2-4,4-2,4-2,2-4,76,140,21,27,2,1,4.9584,24 03 15,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,03 04 07 13 24 37,02,,0,0,1,0,1,4-2,2-4,4-2,2-4,88,136,34,32,2,1,4.7516,24 03 04,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,03 04 07 15 17 24,04,17 24,2,0,3,0,3,4-2,4-2,5-1,3-3,70,128,21,24,2,2,5.1102,24 03 04,"second_miss,low_high_bias,sum_gap_large"
114000043,2025/05/29,05 06 09 20 22 35,07,03 04 07 08 15 24,02,,0,0,0,1,1,3-3,3-3,5-1,3-3,61,97,21,30,2,2,4.9835,03 04 24,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
114000044,2025/06/02,01 05 16 18 21 31,02,03 07 16 17 24 29,02,16,1,1,2,1,3,4-2,4-2,4-2,4-2,96,92,26,30,2,1,4.644,03 24 16,"main_one_hit,second_hit,run_pattern_mismatch"
114000045,2025/06/05,12 16 20 22 34 35,05,03 04 15 24 26 29,05,,0,1,0,1,1,3-3,1-5,3-3,2-4,101,139,26,23,2,2,4.9143,03 04 24,"main_zero_hit,second_hit,odd_even_bias,sum_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,03 04 08 16 24 29,04,03 24,2,0,4,1,5,2-4,5-1,4-2,4-2,84,93,26,28,2,1,4.8916,03 04 24,"second_miss,run_pattern_mismatch,odd_even_bias"
114000047,2025/06/12,05 12 13 15 26 38,05,04 08 15 17 24 29,05,15,1,1,1,1,2,3-3,3-3,4-2,4-2,97,109,25,33,1,2,4.1153,04 24 15,"main_one_hit,second_hit,run_pattern_mismatch"
114000048,2025/06/16,04 11 12 18 21 26,03,04 08 15 24 25 29,02,04,1,0,1,0,1,3-3,2-4,3-3,4-2,105,92,25,22,2,2,4.1806,04 24 29,"main_one_hit,second_miss"
114000049,2025/06/19,01 07 20 21 36 38,06,03 17 24 25 29 31,04,,0,0,2,0,2,5-1,3-3,2-4,2-4,129,123,28,37,2,2,3.9693,24 03 29,"main_zero_hit,second_miss,odd_even_bias"
