target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000031,2025/04/17,01 02 03 05 17 27,08,09 05 34 32 02 21,02,02 05,2,0,2,0,2,3-3,5-1,3-3,5-1,103,55,32,26,1,3,260.3719,09 05 34,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000032,2025/04/21,05 09 20 29 35 36,08,09 05 34 32 02 21,02,05 09,2,0,3,0,3,3-3,4-2,3-3,2-4,103,134,32,31,1,2,260.3009,09 05 34,"second_miss,run_pattern_mismatch,sum_gap_large"
114000033,2025/04/24,07 17 25 29 36 37,05,09 05 34 32 02 21,02,,0,0,0,0,0,3-3,5-1,3-3,2-4,103,151,32,30,1,2,260.23,09 05 34,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000034,2025/04/28,02 14 17 19 29 32,05,09 05 34 32 02 21,02,02 32,2,0,2,0,2,3-3,3-3,3-3,4-2,103,113,32,30,1,1,260.2884,09 05 34,second_miss
114000035,2025/05/01,14 19 20 25 27 30,04,09 05 34 32 02 21,02,,0,0,1,0,1,3-3,3-3,3-3,2-4,103,135,32,16,1,2,260.2175,09 05 34,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000036,2025/05/05,07 08 09 11 19 35,04,09 05 34 32 02 21,02,09,1,0,2,0,2,3-3,5-1,3-3,5-1,103,89,32,28,1,3,260.2759,09 05 34,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias"
114000037,2025/05/08,05 08 09 17 31 37,01,09 05 34 32 02 21,02,05 09,2,0,2,0,2,3-3,5-1,3-3,4-2,103,107,32,32,1,2,260.2696,09 05 34,"second_miss,run_pattern_mismatch,odd_even_bias"
114000038,2025/05/12,02 08 26 34 35 38,04,09 34 05 32 02 21,02,02 34,2,0,2,0,2,3-3,1-5,3-3,2-4,103,143,32,36,1,2,260.1989,09 34 05,"second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000039,2025/05/15,01 02 08 21 23 26,01,09 05 34 32 02 21,02,02 21,2,0,2,0,2,3-3,3-3,3-3,3-3,103,81,32,25,1,2,260.1281,09 05 34,"second_miss,run_pattern_mismatch"
114000040,2025/05/19,10 15 22 27 29 37,03,09 05 34 32 02 28,02,,0,0,0,0,0,2-4,4-2,3-3,2-4,110,140,32,27,1,1,260.1219,09 05 34,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,09 05 34 32 02 28,02,34,1,0,2,0,2,2-4,2-4,3-3,2-4,110,136,32,32,1,1,260.1802,09 05 34,"main_one_hit,second_miss,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,09 05 32 34 02 28,02,,0,0,0,0,0,2-4,4-2,3-3,3-3,110,128,32,24,1,2,260.174,09 05 32,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000043,2025/05/29,05 06 09 20 22 35,07,09 05 32 34 02 28,02,05 09,2,0,2,0,2,2-4,3-3,3-3,3-3,110,97,32,30,1,2,260.2323,09 05 32,"second_miss,run_pattern_mismatch"
114000044,2025/06/02,01 05 16 18 21 31,02,09 05 32 34 02 28,02,05,1,1,2,1,3,2-4,4-2,3-3,4-2,110,92,32,30,1,1,260.1616,09 05 32,"main_one_hit,second_hit,odd_even_bias"
114000045,2025/06/05,12 16 20 22 34 35,05,09 32 34 05 02 28,02,34,1,0,1,0,1,2-4,1-5,3-3,2-4,110,139,32,23,1,2,261.1554,09 32 34,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,09 32 05 34 02 28,02,09,1,1,1,1,2,2-4,5-1,3-3,4-2,110,93,32,28,1,1,261.1492,09 32 05,"main_one_hit,second_hit,odd_even_bias"
