target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000040,2025/05/19,10 15 22 27 29 37,03,01 02 08 21 23 34,02,,0,0,0,0,0,3-3,4-2,3-3,2-4,89,140,33,27,2,1,252.7552,02 21 23,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,02 10 22 27 29 37,02,,0,0,1,0,1,3-3,2-4,2-4,2-4,127,136,35,32,1,1,252.7547,27 37 10,"main_zero_hit,second_miss"
114000042,2025/05/26,13 14 17 23 24 37,06,06 12 21 25 27 34,02,,0,0,1,0,1,3-3,4-2,2-4,3-3,125,128,28,24,1,2,252.7551,34 21 12,"main_zero_hit,second_miss,run_pattern_mismatch"
114000043,2025/05/29,05 06 09 20 22 35,07,13 14 17 23 34 37,02,,0,0,1,0,1,4-2,3-3,3-3,3-3,138,97,24,30,2,2,252.7549,13 23 17,"main_zero_hit,second_miss,sum_gap_large"
114000044,2025/06/02,01 05 16 18 21 31,02,05 06 09 13 20 35,02,05,1,1,1,1,2,4-2,4-2,4-2,4-2,88,92,30,30,2,1,252.7555,09 05 35,"main_one_hit,second_hit,run_pattern_mismatch"
114000045,2025/06/05,12 16 20 22 34 35,05,01 05 09 18 21 31,02,,0,0,1,0,1,5-1,1-5,4-2,2-4,85,139,30,23,1,2,253.7556,05 18 21,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,05 12 16 20 34 35,02,,0,1,0,1,1,2-4,5-1,3-3,4-2,122,93,30,28,2,1,253.7553,34 12 35,"main_zero_hit,second_hit,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000047,2025/06/12,05 12 13 15 26 38,05,03 07 09 19 31 34,02,,0,0,1,0,1,5-1,3-3,4-2,4-2,103,109,31,33,1,2,254.755,09 31 07,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000048,2025/06/16,04 11 12 18 21 26,03,05 09 12 13 15 26,02,12 26,2,0,2,0,2,4-2,2-4,5-1,4-2,80,92,21,22,2,2,254.7553,05 12 13,"second_miss,odd_even_bias"
114000049,2025/06/19,01 07 20 21 36 38,06,05 11 12 18 21 26,02,21,1,0,1,0,1,3-3,3-3,4-2,2-4,93,123,21,37,2,2,254.7552,18 21 11,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
