target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000031,2025/04/17,01 02 03 05 17 27,08,05 09 38 20 01 29,02,01 05,2,0,2,0,2,4-2,5-1,3-3,5-1,102,55,37,26,2,3,252.7835,05 09 38,"second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000032,2025/04/21,05 09 20 29 35 36,08,27 05 02 17 01 09,02,05 09,2,0,2,0,2,5-1,4-2,5-1,2-4,61,134,26,31,2,2,252.7498,27 05 02,"second_miss,low_high_bias,sum_gap_large"
114000033,2025/04/24,07 17 25 29 36 37,05,35 05 09 36 20 29,02,29 36,2,0,2,0,2,4-2,5-1,2-4,2-4,134,151,31,30,2,2,252.783,35 05 09,second_miss
114000034,2025/04/28,02 14 17 19 29 32,05,36 37 25 17 29 07,02,17 29,2,0,2,0,2,5-1,3-3,2-4,4-2,151,113,30,30,2,1,252.7809,36 37 25,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000035,2025/05/01,14 19 20 25 27 30,04,14 19 32 02 17 29,02,14 19,2,0,3,0,3,3-3,3-3,4-2,2-4,113,135,30,16,1,2,252.7825,14 19 32,"second_miss,run_pattern_mismatch,low_high_bias,spread_gap_large"
114000036,2025/05/05,07 08 09 11 19 35,04,30 19 14 27 25 20,02,19,1,0,1,0,1,3-3,5-1,2-4,5-1,135,89,16,28,2,3,252.7836,30 19 14,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000037,2025/05/08,05 08 09 17 31 37,01,11 08 19 35 09 30,02,08 09,2,0,2,0,2,4-2,5-1,4-2,4-2,112,107,27,32,2,2,252.751,11 08 19,second_miss
114000038,2025/05/12,02 08 26 34 35 38,04,05 37 08 31 09 17,02,08,1,0,2,0,2,5-1,1-5,4-2,2-4,107,143,32,36,2,2,252.782,05 37 08,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000039,2025/05/15,01 02 08 21 23 26,01,34 38 26 35 02 08,02,02 08 26,3,0,3,0,3,1-5,3-3,2-4,3-3,143,81,36,25,2,2,252.7835,34 38 26,"main_good_hit,second_miss,odd_even_bias,sum_gap_large,spread_gap_large"
114000040,2025/05/19,10 15 22 27 29 37,03,23 21 26 02 08 01,02,,0,0,0,0,0,3-3,4-2,3-3,2-4,81,140,25,27,2,1,252.7817,23 21 26,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,10 22 27 37 15 29,02,,0,0,1,0,1,4-2,2-4,2-4,2-4,140,136,27,32,1,1,252.7836,10 22 27,"main_zero_hit,second_miss,odd_even_bias"
114000042,2025/05/26,13 14 17 23 24 37,06,34 06 12 38 21 25,02,,0,0,0,0,0,2-4,4-2,2-4,3-3,136,128,32,24,1,2,252.7833,34 06 12,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000043,2025/05/29,05 06 09 20 22 35,07,14 13 37 23 24 17,02,,0,0,1,0,1,4-2,3-3,3-3,3-3,128,97,24,30,2,2,252.7823,14 13 37,"main_zero_hit,second_miss,sum_gap_large"
114000044,2025/06/02,01 05 16 18 21 31,02,22 06 35 05 09 20,02,05,1,1,1,1,2,3-3,4-2,3-3,4-2,97,92,30,30,2,1,252.7824,22 06 35,"main_one_hit,second_hit,run_pattern_mismatch"
114000045,2025/06/05,12 16 20 22 34 35,05,18 31 16 21 05 01,02,16,1,0,2,0,2,4-2,1-5,4-2,2-4,92,139,30,23,1,2,253.7825,18 31 16,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,34 22 12 16 35 20,02,,0,1,1,1,2,1-5,5-1,2-4,4-2,139,93,23,28,2,1,253.782,34 22 12,"main_zero_hit,second_hit,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000047,2025/06/12,05 12 13 15 26 38,05,19 31 07 03 24 09,02,,0,0,0,0,0,5-1,3-3,4-2,4-2,93,109,28,33,1,2,254.7814,19 31 07,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000048,2025/06/16,04 11 12 18 21 26,03,13 26 15 38 12 05,02,12 26,2,0,2,0,2,3-3,2-4,4-2,4-2,109,92,33,22,2,2,254.7822,13 26 15,"second_miss,spread_gap_large"
114000049,2025/06/19,01 07 20 21 36 38,06,11 04 18 26 21 12,02,21,1,0,2,0,2,2-4,3-3,4-2,2-4,92,123,22,37,2,2,254.7836,11 04 18,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000050,2025/06/23,06 11 20 31 32 33,06,36 07 38 01 21 20,02,20,1,0,2,0,2,3-3,3-3,2-4,2-4,123,133,37,27,2,3,254.781,36 07 38,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000051,2025/06/26,01 07 15 23 26 38,04,33 32 11 06 20 36,02,,0,0,1,0,1,2-4,4-2,2-4,3-3,138,110,30,37,2,2,254.7507,33 32 11,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
114000052,2025/06/30,01 03 09 15 22 27,05,23 15 26 07 38 01,02,01 15,2,0,2,0,2,4-2,5-1,3-3,4-2,110,77,37,26,2,1,254.7815,23 15 26,"second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000053,2025/07/03,11 14 20 27 30 38,06,27 22 15 03 09 01,02,27,1,0,1,0,1,5-1,2-4,4-2,2-4,77,140,26,27,1,1,254.7817,27 22 15,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000054,2025/07/07,07 09 14 23 37 38,03,30 11 14 27 38 20,02,14 38,2,0,2,0,2,2-4,4-2,2-4,3-3,140,128,27,31,1,2,254.7827,30 11 14,"second_miss,run_pattern_mismatch,odd_even_bias"
114000055,2025/07/10,01 02 07 14 28 31,02,23 37 14 07 38 09,02,07 14,2,1,2,1,3,4-2,3-3,3-3,4-2,128,83,31,30,2,2,254.7809,23 37 14,"second_hit,sum_gap_large"
114000056,2025/07/14,03 06 19 22 37 38,04,28 31 02 14 01 07,02,,0,0,1,0,1,3-3,3-3,4-2,3-3,83,125,30,35,2,2,255.7821,28 31 02,"main_zero_hit,second_miss,sum_gap_large"
114000057,2025/07/17,01 04 06 21 25 28,02,06 03 19 22 37 38,02,06,1,1,2,1,3,3-3,3-3,3-3,3-3,125,85,35,27,2,1,255.7821,06 03 19,"main_one_hit,second_hit,run_pattern_mismatch,sum_gap_large"
114000058,2025/07/21,10 18 20 24 36 38,04,28 04 25 06 21 01,02,,0,0,0,0,0,3-3,0-6,3-3,2-4,85,146,27,28,1,1,256.7831,28 04 25,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
