target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000040,2025/05/19,10 15 22 27 29 37,03,04 10 18 22 28 33,02,10 22,2,0,2,0,2,1-5,4-2,3-3,2-4,115,140,29,27,1,1,267.6789,10 04 28,"second_miss,odd_even_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,04 06 12 18 28 33,02,06 12,2,0,2,0,2,1-5,2-4,4-2,2-4,101,136,29,32,1,1,267.0799,04 28 18,"second_miss,low_high_bias,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,04 13 18 24 28 33,02,13 24,2,0,2,0,2,2-4,4-2,3-3,3-3,120,128,29,24,1,2,267.1532,04 28 18,"second_miss,run_pattern_mismatch,odd_even_bias"
114000043,2025/05/29,05 06 09 20 22 35,07,03 04 16 18 28 33,02,,0,0,1,0,1,2-4,3-3,4-2,3-3,102,97,30,30,2,2,267.1997,04 28 18,"main_zero_hit,second_miss"
114000044,2025/06/02,01 05 16 18 21 31,02,03 04 16 18 28 33,02,16 18,2,1,2,1,3,2-4,4-2,4-2,4-2,102,92,30,30,2,1,267.5398,04 28 18,"second_hit,run_pattern_mismatch,odd_even_bias"
114000045,2025/06/05,12 16 20 22 34 35,05,03 04 28 32 33 36,02,,0,0,0,0,0,2-4,1-5,2-4,2-4,136,139,33,23,2,2,267.8799,04 28 33,"main_zero_hit,second_miss,spread_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,03 04 28 32 33 36,02,03,1,1,2,1,3,2-4,5-1,2-4,4-2,136,93,33,28,2,1,268.2459,04 28 33,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000047,2025/06/12,05 12 13 15 26 38,05,04 28 30 32 33 36,02,,0,0,0,0,0,1-5,3-3,1-5,4-2,163,109,32,33,2,2,269.3014,04 28 33,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000048,2025/06/16,04 11 12 18 21 26,03,04 28 30 32 33 36,02,04,1,0,2,0,2,1-5,2-4,1-5,4-2,163,92,32,22,2,2,269.644,04 28 33,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000049,2025/06/19,01 07 20 21 36 38,06,02 28 30 32 33 36,02,36,1,0,1,0,1,1-5,3-3,1-5,2-4,161,123,34,37,2,2,268.937,28 33 36,"main_one_hit,second_miss,odd_even_bias,sum_gap_large"
114000050,2025/06/23,06 11 20 31 32 33,06,02 08 28 30 32 33,02,32 33,2,0,2,0,2,1-5,3-3,2-4,2-4,133,133,31,27,2,3,268.8667,28 33 32,"second_miss,run_pattern_mismatch,odd_even_bias"
114000051,2025/06/26,01 07 15 23 26 38,04,02 08 10 27 28 30,02,,0,0,0,0,0,1-5,4-2,3-3,3-3,105,110,28,37,2,2,267.9055,28 30 02,"main_zero_hit,second_miss,odd_even_bias"
114000052,2025/06/30,01 03 09 15 22 27,05,02 08 10 27 28 30,02,27,1,0,1,0,1,1-5,5-1,3-3,4-2,105,77,28,26,2,1,268.3341,28 30 02,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
