target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000040,2025/05/19,10 15 22 27 29 37,03,03 04 14 15 24 38,02,15,1,0,2,0,2,2-4,4-2,4-2,2-4,98,140,35,27,2,1,2095.0,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,03 04 14 15 24 38,02,38,1,0,1,0,1,2-4,2-4,4-2,2-4,98,136,35,32,2,1,2096.0,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,03 04 14 15 24 38,02,14 24,2,0,2,0,2,2-4,4-2,4-2,3-3,98,128,35,24,2,2,2097.0,24 03 04,"second_miss,odd_even_bias,sum_gap_large,spread_gap_large"
114000043,2025/05/29,05 06 09 20 22 35,07,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,3-3,4-2,3-3,98,97,35,30,2,2,2099.0,24 03 04,"main_zero_hit,second_miss"
114000044,2025/06/02,01 05 16 18 21 31,02,03 04 14 15 24 38,02,,0,1,0,1,1,2-4,4-2,4-2,4-2,98,92,35,30,2,1,2099.0,24 03 04,"main_zero_hit,second_hit,run_pattern_mismatch,odd_even_bias"
114000045,2025/06/05,12 16 20 22 34 35,05,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,1-5,4-2,2-4,98,139,35,23,2,2,2100.0,24 03 04,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,03 04 14 15 24 38,02,03 24,2,1,3,1,4,2-4,5-1,4-2,4-2,98,93,35,28,2,1,2100.0,24 03 04,"second_hit,run_pattern_mismatch,odd_even_bias"
114000047,2025/06/12,05 12 13 15 26 38,05,03 04 14 15 24 38,02,15 38,2,0,3,0,3,2-4,3-3,4-2,4-2,98,109,35,33,2,2,2103.0,24 03 04,second_miss
114000048,2025/06/16,04 11 12 18 21 26,03,03 04 14 15 24 38,02,04,1,0,2,0,2,2-4,2-4,4-2,4-2,98,92,35,22,2,2,2105.0,24 03 38,"main_one_hit,second_miss,spread_gap_large"
114000049,2025/06/19,01 07 20 21 36 38,06,03 04 15 24 26 38,02,38,1,0,2,0,2,2-4,3-3,3-3,2-4,110,123,35,37,2,2,2107.0,24 03 04,"main_one_hit,second_miss"
114000050,2025/06/23,06 11 20 31 32 33,06,03 04 15 24 26 38,02,,0,0,0,0,0,2-4,3-3,3-3,2-4,110,133,35,27,2,3,2108.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch"
114000051,2025/06/26,01 07 15 23 26 38,04,03 04 15 24 26 38,02,15 26 38,3,0,3,0,3,2-4,4-2,3-3,3-3,110,110,35,37,2,2,2108.0,24 03 38,"main_good_hit,second_miss,odd_even_bias"
114000052,2025/06/30,01 03 09 15 22 27,05,03 04 15 24 26 38,02,03 15,2,0,3,0,3,2-4,5-1,3-3,4-2,110,77,35,26,2,1,2111.0,24 03 38,"second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000053,2025/07/03,11 14 20 27 30 38,06,03 04 15 24 26 38,02,38,1,0,2,0,2,2-4,2-4,3-3,2-4,110,140,35,27,2,1,2113.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000054,2025/07/07,07 09 14 23 37 38,03,03 04 15 24 26 38,02,38,1,0,2,0,2,2-4,4-2,3-3,3-3,110,128,35,31,2,2,2114.0,24 03 38,"main_one_hit,second_miss,odd_even_bias"
114000055,2025/07/10,01 02 07 14 28 31,02,03 04 14 15 24 38,02,14,1,1,1,1,2,2-4,3-3,4-2,4-2,98,83,35,30,2,2,2115.0,24 03 38,"main_one_hit,second_hit"
114000056,2025/07/14,03 06 19 22 37 38,04,03 04 14 15 24 38,02,03 38,2,0,3,0,3,2-4,3-3,4-2,3-3,98,125,35,35,2,2,2117.0,24 03 38,"second_miss,sum_gap_large"
114000057,2025/07/17,01 04 06 21 25 28,02,03 04 14 15 24 38,02,04,1,1,2,1,3,2-4,3-3,4-2,3-3,98,85,35,27,2,1,2119.0,24 03 38,"main_one_hit,second_hit,run_pattern_mismatch"
114000058,2025/07/21,10 18 20 24 36 38,04,03 04 14 15 24 38,02,24 38,2,0,2,0,2,2-4,0-6,4-2,2-4,98,146,35,28,2,1,2121.0,24 03 38,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000059,2025/07/24,03 04 07 10 33 38,05,03 04 14 15 24 38,02,03 04 38,3,0,4,0,4,2-4,3-3,4-2,4-2,98,95,35,35,2,2,2123.0,24 03 38,"main_good_hit,second_miss"
114000060,2025/07/28,12 16 18 22 24 36,05,03 04 07 15 24 38,02,24,1,0,2,0,2,3-3,0-6,4-2,3-3,91,128,35,24,2,1,2126.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000061,2025/07/31,04 09 18 20 29 31,03,03 04 07 15 24 38,02,04,1,0,1,0,1,3-3,3-3,4-2,3-3,91,111,35,27,2,1,2127.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch"
114000062,2025/08/04,15 16 22 27 30 32,01,03 04 07 15 24 38,02,15,1,0,2,0,2,3-3,2-4,4-2,2-4,91,142,35,17,2,2,2128.0,24 03 38,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000063,2025/08/07,02 04 07 08 18 25,07,03 04 15 22 24 38,02,04,1,0,2,0,2,2-4,2-4,3-3,5-1,106,64,35,23,2,2,2130.0,24 03 38,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000064,2025/08/11,03 05 09 16 18 19,02,03 04 07 15 24 38,02,03,1,1,1,1,2,3-3,4-2,4-2,6-0,91,70,35,16,2,2,2131.0,24 03 38,"main_one_hit,second_hit,low_high_bias,spread_gap_large"
114000065,2025/08/14,01 11 14 17 19 36,03,03 04 07 15 24 38,02,,0,0,1,0,1,3-3,4-2,4-2,5-1,91,98,35,35,2,1,2133.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch"
114000066,2025/08/18,02 05 08 17 20 26,06,03 04 07 15 24 38,02,,0,0,1,0,1,3-3,2-4,4-2,4-2,91,78,35,24,2,1,2133.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,03 04 07 15 24 38,02,04,1,1,2,1,3,3-3,2-4,4-2,6-0,91,64,35,17,2,2,2133.0,24 03 38,"main_one_hit,second_hit,low_high_bias,sum_gap_large,spread_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,03 04 07 15 24 38,02,,0,0,1,0,1,3-3,3-3,4-2,3-3,91,121,35,36,2,2,2135.0,24 03 38,"main_zero_hit,second_miss,sum_gap_large"
