target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000040,2025/05/19,10 15 22 27 29 37,03,01 03 13 15 22 26,02,15 22,2,0,3,0,3,4-2,4-2,4-2,2-4,80,140,25,27,1,1,1779.4,22 01 15,"second_miss,low_high_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,01 03 04 14 24 26,01,,0,0,1,0,1,2-4,2-4,4-2,2-4,72,136,25,32,2,1,1878.4,03 24 04,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,01 22 24 26 29 38,03,24,1,0,1,0,1,2-4,4-2,1-5,3-3,140,128,37,24,2,2,1833.4,24 22 29,"main_one_hit,second_miss,odd_even_bias,low_high_bias,spread_gap_large"
114000043,2025/05/29,05 06 09 20 22 35,07,03 04 15 16 24 29,07,,0,1,0,1,1,3-3,3-3,4-2,3-3,91,97,26,30,2,2,1872.4,04 03 29,"main_zero_hit,second_hit"
114000044,2025/06/02,01 05 16 18 21 31,02,03 08 15 17 20 24,01,,0,0,0,0,0,3-3,4-2,4-2,4-2,87,92,21,30,1,1,1774.4,15 17 24,"main_zero_hit,second_miss"
114000045,2025/06/05,12 16 20 22 34 35,05,04 15 19 22 24 25,05,22,1,1,2,1,3,3-3,1-5,3-3,2-4,109,139,21,23,2,2,1785.4,24 22 15,"main_one_hit,second_hit,odd_even_bias,sum_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,14 15 17 22 24 26,05,24,1,0,2,0,2,2-4,5-1,3-3,4-2,118,93,12,28,2,1,1779.4,24 26 14,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000047,2025/06/12,05 12 13 15 26 38,05,03 04 19 27 29 38,05,38,1,1,1,1,2,4-2,3-3,3-3,4-2,120,109,35,33,2,2,1863.4,03 19 27,"main_one_hit,second_hit"
114000048,2025/06/16,04 11 12 18 21 26,03,01 06 15 24 26 29,05,26,1,0,1,0,1,3-3,2-4,3-3,4-2,101,92,28,22,1,2,1876.4,29 26 15,"main_one_hit,second_miss,run_pattern_mismatch"
114000049,2025/06/19,01 07 20 21 36 38,06,01 03 04 14 23 24,03,01,1,0,1,0,1,3-3,3-3,4-2,2-4,69,123,23,37,2,2,1830.4,03 24 01,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000050,2025/06/23,06 11 20 31 32 33,06,04 10 15 19 22 38,07,,0,0,0,0,0,2-4,3-3,4-2,2-4,108,133,34,27,1,3,1835.4,10 22 15,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000051,2025/06/26,01 07 15 23 26 38,04,03 08 10 24 26 37,07,26,1,0,2,0,2,2-4,4-2,3-3,3-3,108,110,34,37,1,2,1770.4,24 03 10,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000052,2025/06/30,01 03 09 15 22 27,05,01 06 15 24 29 36,02,01 15,2,0,3,0,3,3-3,5-1,3-3,4-2,111,77,35,26,1,1,1901.4,15 24 01,"second_miss,odd_even_bias,sum_gap_large"
114000053,2025/07/03,11 14 20 27 30 38,06,03 19 22 24 25 38,05,38,1,0,1,0,1,3-3,2-4,2-4,2-4,131,140,35,27,2,1,1852.4,38 19 24,"main_one_hit,second_miss,run_pattern_mismatch"
114000054,2025/07/07,07 09 14 23 37 38,03,03 04 08 10 16 24,07,,0,0,1,0,1,1-5,4-2,5-1,3-3,65,128,21,31,2,2,1904.4,03 24 04,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000055,2025/07/10,01 02 07 14 28 31,02,03 08 15 19 24 37,03,,0,0,0,0,0,4-2,3-3,4-2,4-2,106,83,34,30,1,2,1839.4,15 03 08,"main_zero_hit,second_miss,run_pattern_mismatch"
114000056,2025/07/14,03 06 19 22 37 38,04,15 19 22 35 36 38,05,19 22 38,3,0,4,0,4,3-3,3-3,2-4,3-3,165,125,23,35,2,2,1841.4,38 15 22,"main_good_hit,second_miss,sum_gap_large,spread_gap_large"
114000057,2025/07/17,01 04 06 21 25 28,02,01 03 08 10 24 38,02,01,1,1,1,1,2,2-4,3-3,4-2,3-3,84,85,37,27,2,1,1950.4,24 38 03,"main_one_hit,second_hit,run_pattern_mismatch,spread_gap_large"
114000058,2025/07/21,10 18 20 24 36 38,04,01 07 15 22 24 38,05,24 38,2,0,3,0,3,3-3,0-6,3-3,2-4,107,146,37,28,2,1,1898.4,01 38 22,"second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000059,2025/07/24,03 04 07 10 33 38,05,03 04 07 14 24 25,02,03 04 07,3,0,4,0,4,3-3,3-3,4-2,4-2,77,95,22,35,2,2,1926.4,03 04 07,"main_good_hit,second_miss,spread_gap_large"
114000060,2025/07/28,12 16 18 22 24 36,05,01 03 06 10 24 38,05,24,1,1,1,1,2,2-4,0-6,4-2,3-3,82,128,37,24,2,1,1941.4,24 38 03,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000061,2025/07/31,04 09 18 20 29 31,03,03 04 14 24 25 38,05,04,1,0,1,0,1,2-4,3-3,3-3,3-3,108,111,35,27,2,1,1926.4,24 03 14,"main_one_hit,second_miss,run_pattern_mismatch"
114000062,2025/08/04,15 16 22 27 30 32,01,03 04 07 16 17 27,03,16 27,2,0,2,0,2,4-2,2-4,5-1,2-4,74,142,24,17,2,2,1835.4,03 07 17,"second_miss,odd_even_bias,low_high_bias,sum_gap_large"
