target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000040,2025/05/19,10 15 22 27 29 37,03,01 02 07 09 17 20,04,,0,0,1,0,1,4-2,4-2,5-1,2-4,56,140,19,27,2,1,55.0,02 07 09,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,01 02 07 09 17 29,04,,0,0,0,0,0,5-1,2-4,5-1,2-4,65,136,28,32,2,1,55.0,02 09 17,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,01 02 07 09 17 29,04,17,1,0,1,0,1,5-1,4-2,5-1,3-3,65,128,28,24,2,2,55.0,02 09 17,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
114000043,2025/05/29,05 06 09 20 22 35,07,01 02 09 17 20 29,04,09 20,2,0,2,0,2,4-2,3-3,4-2,3-3,78,97,28,30,2,2,55.0,17 02 09,second_miss
114000044,2025/06/02,01 05 16 18 21 31,02,01 02 09 17 20 29,04,01,1,0,2,0,2,4-2,4-2,4-2,4-2,78,92,28,30,2,1,56.0,09 17 20,"main_one_hit,second_miss,run_pattern_mismatch"
114000045,2025/06/05,12 16 20 22 34 35,05,01 05 09 17 20 29,04,20,1,0,1,0,1,5-1,1-5,4-2,2-4,81,139,28,23,1,2,56.0,09 05 17,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000046,2025/06/09,03 07 09 19 24 31,02,01 02 09 17 20 29,04,09,1,0,1,0,1,4-2,5-1,4-2,4-2,78,93,28,28,2,1,56.0,09 20 17,"main_one_hit,second_miss,run_pattern_mismatch"
114000047,2025/06/12,05 12 13 15 26 38,05,01 02 09 17 20 29,04,,0,0,1,0,1,4-2,3-3,4-2,4-2,78,109,28,33,2,2,57.0,09 20 17,"main_zero_hit,second_miss,sum_gap_large"
114000048,2025/06/16,04 11 12 18 21 26,03,02 05 09 17 20 29,04,,0,0,1,0,1,4-2,2-4,4-2,4-2,82,92,27,22,1,2,58.0,09 20 05,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000049,2025/06/19,01 07 20 21 36 38,06,02 05 09 17 20 29,04,20,1,0,2,0,2,4-2,3-3,4-2,2-4,82,123,27,37,1,2,57.0,09 05 17,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000050,2025/06/23,06 11 20 31 32 33,06,01 02 05 09 20 21,04,20,1,0,1,0,1,4-2,3-3,4-2,2-4,58,133,20,27,2,3,54.0,09 20 21,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000051,2025/06/26,01 07 15 23 26 38,04,01 02 05 09 20 21,04,01,1,1,1,1,2,4-2,4-2,4-2,3-3,58,110,20,37,2,2,54.0,09 20 21,"main_one_hit,second_hit,sum_gap_large,spread_gap_large"
114000052,2025/06/30,01 03 09 15 22 27,05,01 02 05 09 20 21,04,01 09,2,0,2,0,2,4-2,5-1,4-2,4-2,58,77,20,26,2,1,56.0,09 20 01,"second_miss,run_pattern_mismatch"
114000053,2025/07/03,11 14 20 27 30 38,06,01 05 07 09 20 21,04,20,1,0,2,0,2,5-1,2-4,4-2,2-4,63,140,20,27,2,1,56.0,09 20 01,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000054,2025/07/07,07 09 14 23 37 38,03,01 05 07 09 20 21,04,07 09,2,0,3,0,3,5-1,4-2,4-2,3-3,63,128,20,31,2,2,56.0,09 20 21,"second_miss,sum_gap_large,spread_gap_large"
114000055,2025/07/10,01 02 07 14 28 31,02,01 07 09 20 21 38,04,01 07,2,0,2,0,2,4-2,3-3,3-3,4-2,96,83,37,30,2,2,59.0,09 20 07,second_miss
114000056,2025/07/14,03 06 19 22 37 38,04,01 05 07 09 20 38,04,38,1,1,1,1,2,4-2,3-3,4-2,3-3,80,125,37,35,2,2,59.0,09 20 01,"main_one_hit,second_hit,sum_gap_large"
114000057,2025/07/17,01 04 06 21 25 28,02,01 05 07 09 20 38,04,01,1,0,2,0,2,4-2,3-3,4-2,3-3,80,85,37,27,2,1,57.0,09 20 38,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000058,2025/07/21,10 18 20 24 36 38,04,01 05 07 09 20 38,04,20 38,2,1,2,1,3,4-2,0-6,4-2,2-4,80,146,37,28,2,1,57.0,01 09 20,"second_hit,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000059,2025/07/24,03 04 07 10 33 38,05,01 05 07 09 20 38,04,07 38,2,0,2,0,2,4-2,3-3,4-2,4-2,80,95,37,35,2,2,59.0,20 38 01,second_miss
114000060,2025/07/28,12 16 18 22 24 36,05,01 05 07 09 20 38,04,,0,0,0,0,0,4-2,0-6,4-2,3-3,80,128,37,24,2,1,58.0,38 01 20,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000061,2025/07/31,04 09 18 20 29 31,03,01 05 07 09 20 38,05,09 20,2,0,2,0,2,4-2,3-3,4-2,3-3,80,111,37,27,2,1,54.0,38 01 07,"second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000062,2025/08/04,15 16 22 27 30 32,01,01 07 09 14 20 38,05,,0,0,1,0,1,3-3,2-4,4-2,2-4,89,142,37,17,2,2,55.0,38 20 07,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000063,2025/08/07,02 04 07 08 18 25,07,01 07 09 20 22 38,05,07,1,0,1,0,1,3-3,2-4,3-3,5-1,97,64,37,23,2,2,54.0,38 07 20,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000064,2025/08/11,03 05 09 16 18 19,02,01 07 09 20 22 38,04,09,1,0,2,0,2,3-3,4-2,3-3,6-0,97,70,37,16,2,2,53.0,38 07 20,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000065,2025/08/14,01 11 14 17 19 36,03,01 07 09 18 20 38,04,01,1,0,1,0,1,3-3,4-2,4-2,5-1,93,98,37,35,2,1,54.0,38 07 09,"main_one_hit,second_miss,run_pattern_mismatch"
114000066,2025/08/18,02 05 08 17 20 26,06,01 07 09 18 20 38,03,20,1,0,1,0,1,3-3,2-4,4-2,4-2,93,78,37,24,2,1,54.0,38 01 07,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,01 07 09 18 20 38,03,,0,0,0,0,0,3-3,2-4,4-2,6-0,93,64,37,17,2,2,53.0,38 01 20,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,01 07 18 20 22 38,02,01,1,0,1,0,1,2-4,3-3,3-3,3-3,106,121,37,36,2,2,53.0,38 01 20,"main_one_hit,second_miss"
114000069,2025/08/28,09 13 14 17 23 30,05,01 07 12 18 20 38,03,,0,0,0,0,0,2-4,4-2,4-2,4-2,96,106,37,21,2,2,54.0,01 38 20,"main_zero_hit,second_miss,odd_even_bias,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,01 07 09 12 20 38,03,07,1,0,2,0,2,3-3,2-4,4-2,4-2,87,100,37,27,2,2,53.0,38 01 20,"main_one_hit,second_miss,spread_gap_large"
114000071,2025/09/04,06 07 09 11 21 38,08,01 07 09 18 20 38,02,07 09 38,3,0,3,0,3,3-3,4-2,4-2,4-2,93,92,37,32,2,2,54.0,38 01 07,"main_good_hit,second_miss"
114000072,2025/09/08,07 08 14 15 25 36,06,01 07 09 18 20 38,02,07,1,0,2,0,2,3-3,3-3,4-2,4-2,93,105,37,29,2,2,56.0,07 38 01,"main_one_hit,second_miss"
