target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000040,2025/05/19,10 15 22 27 29 37,03,02 08 09 17 25 29,04,29,1,0,2,0,2,4-2,4-2,4-2,2-4,90,140,27,27,2,1,56.1204,08 17 09,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,02 08 09 17 29 37,04,,0,0,1,0,1,4-2,2-4,4-2,2-4,102,136,35,32,2,1,56.0572,29 08 17,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,02 08 09 17 25 29,04,17,1,0,2,0,2,4-2,4-2,4-2,3-3,90,128,27,24,2,2,54.8565,29 08 17,"main_one_hit,second_miss,sum_gap_large"
114000043,2025/05/29,05 06 09 20 22 35,07,08 09 17 25 29 37,04,09,1,0,1,0,1,5-1,3-3,3-3,3-3,125,97,29,30,2,2,55.148,17 29 37,"main_one_hit,second_miss,odd_even_bias,sum_gap_large"
114000044,2025/06/02,01 05 16 18 21 31,02,08 09 17 25 29 37,04,,0,0,1,0,1,5-1,4-2,3-3,4-2,125,92,29,30,2,1,54.5355,17 09 29,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000045,2025/06/05,12 16 20 22 34 35,05,08 09 17 21 29 37,04,,0,0,1,0,1,5-1,1-5,3-3,2-4,121,139,29,23,2,2,53.4637,17 09 29,"main_zero_hit,second_miss,odd_even_bias"
114000046,2025/06/09,03 07 09 19 24 31,02,09 17 20 21 29 37,04,09,1,0,1,0,1,5-1,5-1,2-4,4-2,133,93,28,28,2,1,52.4798,17 20 09,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000047,2025/06/12,05 12 13 15 26 38,05,09 17 20 29 31 37,04,,0,0,0,0,0,5-1,3-3,2-4,4-2,143,109,28,33,1,2,52.2959,09 17 20,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000048,2025/06/16,04 11 12 18 21 26,03,05 09 17 20 29 31,04,,0,0,1,0,1,5-1,2-4,3-3,4-2,111,92,26,22,1,2,50.9578,09 17 20,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000049,2025/06/19,01 07 20 21 36 38,06,09 12 17 20 21 31,04,20 21,2,0,2,0,2,4-2,3-3,3-3,2-4,110,123,22,37,2,2,50.2788,09 21 17,"second_miss,spread_gap_large"
114000050,2025/06/23,06 11 20 31 32 33,06,07 09 17 20 21 31,04,20 31,2,0,2,0,2,5-1,3-3,3-3,2-4,105,133,24,27,2,3,50.8747,21 20 09,"second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000051,2025/06/26,01 07 15 23 26 38,04,07 09 17 20 21 31,04,07,1,1,1,1,2,5-1,4-2,3-3,3-3,105,110,24,37,2,2,51.3904,20 21 31,"main_one_hit,second_hit,spread_gap_large"
114000052,2025/06/30,01 03 09 15 22 27,05,07 09 20 21 31 38,04,09,1,0,2,0,2,4-2,5-1,2-4,4-2,126,77,31,26,2,1,52.3722,20 21 31,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000053,2025/07/03,11 14 20 27 30 38,06,01 09 15 20 21 31,04,20,1,0,2,0,2,5-1,2-4,3-3,2-4,97,140,30,27,2,1,52.8372,20 09 21,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000054,2025/07/07,07 09 14 23 37 38,03,01 09 15 20 21 38,04,09 38,2,0,3,0,3,4-2,4-2,3-3,3-3,104,128,37,31,2,2,53.0389,20 09 38,second_miss
114000055,2025/07/10,01 02 07 14 28 31,02,01 07 09 20 21 38,04,01 07,2,0,3,0,3,4-2,3-3,3-3,4-2,96,83,37,30,2,2,54.2587,09 20 38,second_miss
114000056,2025/07/14,03 06 19 22 37 38,04,01 07 09 20 31 38,04,38,1,1,1,1,2,4-2,3-3,3-3,3-3,106,125,37,35,2,2,55.1557,07 09 20,"main_one_hit,second_hit"
114000057,2025/07/17,01 04 06 21 25 28,02,01 07 09 20 31 38,04,01,1,0,2,0,2,4-2,3-3,3-3,3-3,106,85,37,27,2,1,55.543,38 07 09,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000058,2025/07/21,10 18 20 24 36 38,04,01 07 09 20 21 38,04,20 38,2,1,2,1,3,4-2,0-6,3-3,2-4,96,146,37,28,2,1,55.4645,38 01 07,"second_hit,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000059,2025/07/24,03 04 07 10 33 38,05,01 07 09 20 21 38,04,07 38,2,0,2,0,2,4-2,3-3,3-3,4-2,96,95,37,35,2,2,56.8426,38 20 01,second_miss
114000060,2025/07/28,12 16 18 22 24 36,05,01 07 09 20 21 38,04,,0,0,0,0,0,4-2,0-6,3-3,3-3,96,128,37,24,2,1,57.1793,38 07 20,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000061,2025/07/31,04 09 18 20 29 31,03,01 07 09 20 21 38,04,09 20,2,0,3,0,3,4-2,3-3,3-3,3-3,96,111,37,27,2,1,55.5059,38 07 20,"second_miss,run_pattern_mismatch,spread_gap_large"
114000062,2025/08/04,15 16 22 27 30 32,01,01 07 09 20 31 38,04,,0,0,0,0,0,4-2,2-4,3-3,2-4,106,142,37,17,2,2,56.3996,38 20 07,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large,spread_gap_large"
114000063,2025/08/07,02 04 07 08 18 25,07,01 07 09 20 31 38,04,07,1,0,2,0,2,4-2,2-4,3-3,5-1,106,64,37,23,2,2,54.7496,38 20 07,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000064,2025/08/11,03 05 09 16 18 19,02,01 07 09 18 20 38,04,09 18,2,0,2,0,2,3-3,4-2,4-2,6-0,93,70,37,16,2,2,54.7862,38 07 20,"second_miss,low_high_bias,spread_gap_large"
