target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000031,2025/04/17,01 02 03 05 17 27,08,01 05 06 10 20 31,08,01 05,2,1,2,1,3,3-3,5-1,4-2,5-1,73,55,30,26,2,3,0.0,,"second_hit,run_pattern_mismatch,odd_even_bias"
114000032,2025/04/21,05 09 20 29 35 36,08,02 09 10 16 22 32,06,09,1,0,3,0,3,1-5,4-2,4-2,2-4,91,134,30,31,2,2,0.0,,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000033,2025/04/24,07 17 25 29 36 37,05,04 09 15 26 28 33,04,,0,0,1,1,1,3-3,5-1,3-3,2-4,115,151,29,30,1,2,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000034,2025/04/28,02 14 17 19 29 32,05,02 05 07 18 19 26,06,02 19,2,0,2,0,2,3-3,3-3,5-1,4-2,77,113,24,30,2,1,0.0,,"second_miss,run_pattern_mismatch,sum_gap_large"
114000035,2025/05/01,14 19 20 25 27 30,04,18 25 29 33 35 37,04,25,1,1,2,1,2,5-1,3-3,1-5,2-4,177,135,19,16,1,2,0.0,,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000036,2025/05/05,07 08 09 11 19 35,04,05 10 20 25 34 35,01,35,1,0,2,0,2,3-3,5-1,2-4,5-1,129,89,30,28,2,3,0.0,,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000037,2025/05/08,05 08 09 17 31 37,01,09 15 18 20 23 31,01,09 31,2,1,2,1,3,4-2,5-1,3-3,4-2,116,107,22,32,1,2,0.0,,"second_hit,run_pattern_mismatch,spread_gap_large"
114000038,2025/05/12,02 08 26 34 35 38,04,15 22 30 33 35 37,03,35,1,0,2,1,3,4-2,1-5,1-5,2-4,172,143,22,36,1,2,0.0,,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000039,2025/05/15,01 02 08 21 23 26,01,05 06 16 26 34 38,03,26,1,0,2,0,2,1-5,3-3,3-3,3-3,125,81,33,25,2,2,0.0,,"main_one_hit,second_miss,odd_even_bias,sum_gap_large"
114000040,2025/05/19,10 15 22 27 29 37,03,04 11 12 14 29 36,02,29,1,0,1,1,1,2-4,4-2,4-2,2-4,106,140,32,27,2,1,0.0,,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000041,2025/05/22,06 12 21 25 34 38,03,01 04 09 21 24 29,06,21,1,0,3,1,3,4-2,2-4,3-3,2-4,88,136,28,32,1,1,0.0,,"main_one_hit,second_miss,odd_even_bias,sum_gap_large"
114000042,2025/05/26,13 14 17 23 24 37,06,08 12 19 21 35 36,06,,0,1,3,1,3,3-3,4-2,3-3,3-3,131,128,28,24,2,2,0.0,,"main_zero_hit,second_hit"
