group,config,window,recent_window,normalize_mode,tested_draws,top1_avg_main_hits,best6_avg_main_hits,top1_second_hit_rate,any6_second_hit_rate,top1_at_least_3_main_rate,any6_at_least_3_main_rate
deficit_only,"deficit_only(window=150, norm=ratio)",150,,ratio,100,1.09,1.53,0.19,0.19,0.07,0.12
deficit_only,"deficit_only(window=150, norm=raw)",150,,raw,100,1.09,1.53,0.19,0.19,0.07,0.12
deficit_only,"deficit_only(window=150, norm=z)",150,,z,100,1.09,1.53,0.19,0.19,0.07,0.12
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=30, norm=ratio)",,30,ratio,100,0.95,1.44,0.19,0.19,0.04,0.11
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=15, norm=ratio)",,15,ratio,100,0.95,1.43,0.19,0.19,0.04,0.1
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=15, norm=z)",,15,z,100,0.96,1.41,0.19,0.19,0.04,0.11
deficit_only,"deficit_only(window=all, norm=ratio)",all,,ratio,100,0.97,1.4,0.19,0.19,0.05,0.12
deficit_only,"deficit_only(window=all, norm=raw)",all,,raw,100,0.97,1.4,0.19,0.19,0.05,0.12
deficit_only,"deficit_only(window=all, norm=z)",all,,z,100,0.97,1.4,0.19,0.19,0.05,0.12
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=30, norm=z)",,30,z,100,0.96,1.4,0.19,0.19,0.05,0.11
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=100, norm=ratio)",,100,ratio,100,0.98,1.39,0.19,0.19,0.04,0.1
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=50, norm=ratio)",,50,ratio,100,0.96,1.39,0.19,0.19,0.04,0.1
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=100, norm=raw)",,100,raw,100,1.03,1.38,0.19,0.19,0.05,0.11
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=30, norm=raw)",,30,raw,100,1.03,1.38,0.19,0.19,0.05,0.11
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=15, norm=raw)",,15,raw,100,1.02,1.38,0.19,0.19,0.05,0.11
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=50, norm=raw)",,50,raw,100,1.03,1.37,0.19,0.19,0.05,0.11
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=50, norm=z)",,50,z,100,0.91,1.37,0.19,0.19,0.02,0.1
deficit_only,"deficit_only(window=50, norm=ratio)",50,,ratio,100,0.89,1.37,0.19,0.19,0.03,0.1
deficit_only,"deficit_only(window=50, norm=raw)",50,,raw,100,0.89,1.37,0.19,0.19,0.03,0.1
gap_deficit_recent_lr,"gap_deficit_recent_lr(window=100, norm=z)",,100,z,100,1.0,1.36,0.19,0.19,0.04,0.07
deficit_only,"deficit_only(window=50, norm=z)",50,,z,100,0.89,1.36,0.19,0.19,0.03,0.09
deficit_only,"deficit_only(window=100, norm=z)",100,,z,100,0.92,1.31,0.19,0.19,0.03,0.06
deficit_only,"deficit_only(window=100, norm=ratio)",100,,ratio,100,0.92,1.3,0.19,0.19,0.03,0.06
deficit_only,"deficit_only(window=100, norm=raw)",100,,raw,100,0.92,1.3,0.19,0.19,0.03,0.06
deficit_only,"deficit_only(window=30, norm=raw)",30,,raw,100,0.82,1.28,0.19,0.19,0.02,0.07
deficit_only,"deficit_only(window=30, norm=z)",30,,z,100,0.82,1.28,0.19,0.19,0.02,0.07
deficit_only,"deficit_only(window=30, norm=ratio)",30,,ratio,100,0.82,1.27,0.19,0.19,0.02,0.07
